Afghanistan;0,28;;
Albania;1,73;;
Algeria;1,07;;
Angola;0,59;;
Anguilla;20,49;;
Antigua and Barbuda;14,85;;
Argentina;9,03;;
Armenia;9,85;;
Aruba;7,97;;
Australia;;;
Austria;61,01;;
Azerbaijan;2,31;;
Bahamas;12,38;;
Bahrain;17,62;;
Bangladesh;1,59;;
Barbados;14,84;;
Belarus;0,81;;
Belgium;37,95;;
Belize;15,2;;
Benin;0,38;;
Bermuda;;;
Bhutan;0,6;;
Bolivia;2,4;;
Bosnia and Herzegovina;5,43;;
Botswana;4,87;;
Brazil;16,09;;
Brunei;8,83;;
Bulgaria;;;
Burkina Faso;0,6;;
Burundi;0,73;;
Cambodia;0,31;;
Cameroon;1,23;;
Canada;87,69;;
Cape Verde;10,85;;
Central African Rep.;0,3;;
Chad;0,16;;
Chile;14,11;;
China;4,83;;
Hong Kong, China;59,26;;
Macao, China;34,77;;
Colombia;4,15;;
Comoros;0,68;;
Congo, Rep.;0,48;;
Costa Rica;23,11;;
Cote d'Ivoire;1,78;;
Croatia;;;
Cuba;3,35;;
Cyprus;33,4;;
Czech Rep.;27,4;;
Congo, Dem. Rep.;0,02;;
Denmark;69,46;;
Djibouti;2,4;;
Dominica;;;
Dominican Rep.;2,31;;
Ecuador;6,55;;
Egypt;3,65;;
El Salvador;5,09;;
Equatorial Guinea;1,79;;
Eritrea;0,57;;
Estonia;48,88;;
Ethiopia;0,39;;
Faeroe Islands;;;
Falkland Islands (Malvinas);29,41;;
Fiji;5,9;;
Finland;50,01;;
France;57,86;;
French Polynesia;10,91;;
Gabon;3,25;;
Gambia;1,65;;
Georgia;4,7;;
Germany;60,47;;
Ghana;0,58;;
Greece;9,17;;
Greenland;;;
Grenada;;;
Guatemala;2,08;;
Guinea;0,48;;
Guinea-Bissau;0,19;;
Guyana;3,86;;
Haiti;0,19;;
Honduras;1,43;;
Hungary;14,42;;
Iceland;48,21;;
India;1,54;;
Indonesia;1,47;;
Iran;;;
Iraq;;;
Ireland;52,99;;
Israel;;;
Italy;36,99;;
Jamaica;6,75;;
Japan;;;
Jordan;6,23;;
Kenya;1,44;;
Kiribati;;;
Korea, Rep.;53,72;;
Kuwait;22,33;;
Kyrgyzstan;1,9;;
Laos;1,69;;
Latvia;24,53;;
Lebanon;11,45;;
Lesotho;0,28;;
Libya;2,22;;
Lithuania;17,95;;
Luxembourg;62,38;;
Madagascar;0,55;;
Malawi;0,19;;
Malaysia;22,09;;
Maldives;13,67;;
Mali;0,44;;
Malta;;;
Marshall Islands;;;
Mauritania;2,56;;
Mauritius;16,87;;
Mexico;13,08;;
Micronesia, Fed. Sts.;5,43;;
Monaco;42,55;;
Mongolia;12,85;;
Morocco;2,37;;
Mozambique;1,43;;
Myanmar;0,79;;
Namibia;12,26;;
Nepal;0,49;;
Netherlands;85,54;;
New Caledonia;16,89;;
New Zealand;51,56;;
Nicaragua;4,01;;
Niger;0,07;;
Nigeria;0,91;;
Norway;59,41;;
West Bank and Gaza;5,27;;
Oman;5,06;;
Pakistan;;;
Panama;4,56;;
Papua New Guinea;6,64;;
Paraguay;7,47;;
Peru;10,01;;
Philippines;5,44;;
Poland;13,88;;
Portugal;15,31;;
Puerto Rico;0,83;;
Qatar;17,84;;
Moldova;8,27;;
Romania;12,9;;
Russia;12,15;;
Rwanda;0,21;;
Saint Kitts and Nevis;;;
Saint Lucia;;;
Saint Vincent and the Grenadines;13,86;;
Samoa;1,89;;
San Marino;86,74;;
Sao Tome and Principe;3,83;;
Saudi Arabia;12,82;;
Senegal;2,14;;
Serbia;;;
Seychelles;19,84;;
Singapore;68,43;;
Slovak Republic;35,72;;
Slovenia;41,08;;
Solomon Islands;4,6;;
Somalia;0,91;;
South Africa;8,36;;
Spain;27,87;;
Sri Lanka;3,54;;
Sudan;8,97;;
Suriname;4,45;;
Swaziland;4,07;;
Sweden;83,48;;
Switzerland;88,66;;
Syria;4,2;;
Tajikistan;1,3;;
Thailand;6,86;;
Macedonia, FYR;22,17;;
Togo;3,01;;
Tokelau;;;
Tonga;5,86;;
Trinidad and Tobago;9,88;;
Tunisia;5,62;;
Turkey;5,56;;
Turkmenistan;7,2;;
Tuvalu;8,05;;
Uganda;1,04;;
Ukraine;3,89;;
United Arab Emirates;23,36;;
United Kingdom;76,52;;
Tanzania;0,93;;
United States;77,26;;
Virgin Islands (U.S.);2,68;;
Uruguay;12,99;;
Uzbekistan;2,82;;
Vanuatu;1,42;;
Venezuela;9,25;;
Vietnam;6,9;;
Yemen, Rep.;1,91;;
Zambia;1,12;;
Zimbabwe;6,53;;
;;;
