Abkhazia;
Afghanistan;1146
Akrotiri and Dhekelia;
Albania;7075
Algeria;12077
American Samoa;
Andorra;39787
Angola;4667
Anguilla;
Antigua and Barbuda;21414
Argentina;12039
Armenia;5297
Aruba;40737
Australia;38840
Austria;40875
Azerbaijan;8052
Bahamas;25397
Bahrain;44031
Bangladesh;1934
Barbados;15128
Belarus;10851
Belgium;39881
Belize;8202
Benin;1584
Bermuda;56017
Bhutan;4565
Bolivia;4578
Bosnia and Herzegovina;7751
Botswana;11460
Brazil;12373
British Virgin Islands;
Brunei;74441
Bulgaria;12359
Burkina Faso;1232
Burundi;692
Cambodia;1957
Cameroon;2532
Canada;40284
Cape Verde;4604
Cayman Islands;55970
Central African Republic;853
Chad;1803
Channel Islands;
Chile;16985
China;5675
Christmas Island;
Cocos Island;
Colombia;9286
Comoros;1498
Congo, Dem. Rep.;556
Congo, Rep.;4978
Cook Is;
Costa Rica;10629
Cote d'Ivoire;2828
Croatia;19420
Cuba;14200
Cyprus;33592
Czech Republic;25571
Czechoslovakia;
Denmark;43919
Djibouti;2240
Dominica;8764
Dominican Republic;8772
East Germany;
Ecuador;8582
Egypt;8556
El Salvador;6907
Equatorial Guinea;36200
Eritrea;1332
Eritrea and Ethiopia;
Estonia;21651
Ethiopia;738
Faeroe Islands;
Falkland Is (Malvinas);
Fiji;7169
Finland;38700
France;36395
French Guiana;
French Polynesia;
Gabon;17069
Gambia;1552
Georgia;4716
Germany;37901
Ghana;2558
Gibraltar;
Greece;29768
Greenland;21846
Grenada;11892
Guadeloupe;
Guam;
Guatemala;6475
Guernsey;
Guinea;1210
Guinea-Bissau;1299
Guyana;5140
Haiti;1562
Holy See;
Honduras;3952
Hong Kong, China;40923
Hungary;22029
Iceland;39108
India;3262
Indonesia;6892
Iran;14452
Iraq;10489
Ireland;47775
Isle of Man;
Israel;25891
Italy;37130
Jamaica;8803
Japan;33916
Jersey;
Jordan;9293
Kazakhstan;15619
Kenya;2240
Kiribati;1792
North Korea;1464
South Korea;25541
United Korea (former);
Kosovo;6735
Kuwait;92665
Kyrgyz Republic;2370
Lao;2930
Latvia;17192
Lebanon;12258
Lesotho;1810
Liberia;470
Libya;26967
Liechtenstein;
Lithuania;18256
Luxembourg;88944
Macao, China;64277
Macedonia, FYR;9247
Madagascar;1393
Malawi;609
Malaysia;17929
Maldives;8619
Mali;1483
Malta;25510
Marshall Islands;3272
Martinique;
Mauritania;2955
Mauritius;12747
Mayotte;
Mexico;14961
Micronesia, Fed. Sts.;3301
Moldova;3318
Monaco;52761
Mongolia;6047
Montenegro;11090
Montserrat;
Morocco;5363
Mozambique;774
Myanmar;2339
Namibia;7279
Nauru;6097
Nepal;1708
Netherlands;43243
Netherlands Antilles;
New Caledonia;
New Zealand;31798
Ngorno-Karabakh;
Nicaragua;3740
Niger;788
Nigeria;4130
Niue;
Norfolk Island;
Northern Cyprus;
Northern Mariana Islands;
Norway;63573
Oman;41270
Pakistan;3910
Palau;14644
Panama;11156
Papua New Guinea;1822
Paraguay;6007
Peru;7499
Philippines;4804
Pitcairn;
Poland;16900
Portugal;26744
Puerto Rico;37503
Qatar;119134
Reunion;
Romania;13941
Russia;18118
Rwanda;973
St. Barthélemy;
St. Helena;
St. Kitts and Nevis;21064
St. Lucia;10158
St. Martin;
St. Vincent and the Grenadines;9337
St.-Pierre-et-Miquelon;
Samoa;5335
San Marino;53928
Sao Tome and Principe;2321
Saudi Arabia;38892
Senegal;2106
Serbia;10568
Serbia and Montenegro;
Serbia excluding Kosovo;
Seychelles;17803
Sierra Leone;1158
Singapore;61921
Slovak Republic;19549
Slovenia;26677
Solomon Islands;1602
Somalia;616
Somaliland;
South Africa;11133
South Ossetia;
Spain;33396
Sri Lanka;5843
Sudan;2672
Suriname;12225
Svalbard;
Swaziland;5618
Sweden;41184
Switzerland;51069
Syria;5738
Taiwan;36825
Tajikistan;1719
Tanzania;1848
Thailand;10901
Timor-Leste;1301
Togo;1211
Tokelau;
Tonga;5006
Transnistria;
Trinidad and Tobago;25439
Tunisia;8707
Turkey;15176
Turkmenistan;6505
Turks and Caicos Islands;18734
Tuvalu;2995
Uganda;1217
Ukraine;7265
United Arab Emirates;102324
United Kingdom;36665
United States;49762
Uruguay;12978
USSR;
Uzbekistan;3030
Wallis et Futuna;
Vanuatu;2610
Venezuela;14981
West Bank and Gaza;4506
West Germany;
Western Sahara;
Vietnam;3485
Virgin Islands (U.S.);
North Yemen (former);
South Yemen (former);
Yemen;4295
Yugoslavia;
Zambia;2620
Zimbabwe;1689
Åland;
South Sudan;3221
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
